uniform_tvec, dvv, dv_err, temp_prism, ppt_prism, soil_nldas, snow_nldas, date 
2006.000000,0.000000,0.000000,4.388890,6.858000,455.814000,5.175000,2006-01-01
2006.002686,0.000000,0.000000,1.391060,0.258775,456.285000,5.409000,2006-01-02
2006.005493,0.000000,0.000000,3.999940,2.285770,456.737000,5.623000,2006-01-03
2006.008179,0.000000,0.000000,3.018910,0.260579,457.208000,5.835000,2006-01-04
2006.010986,0.000000,0.000000,0.089160,0.000000,457.660000,6.025000,2006-01-05
2006.013672,0.000000,0.000000,-1.111030,0.000000,458.111000,6.203000,2006-01-06
2006.016479,0.000000,0.000000,2.276800,0.000559,458.582000,6.372000,2006-01-07
2006.019165,0.000000,0.000000,4.666670,0.508000,459.034000,6.518000,2006-01-08
2006.021851,0.000000,0.000000,-2.979090,0.000559,459.505000,6.653000,2006-01-09
2006.024658,0.000000,0.000000,-5.499510,0.000000,459.957000,6.763000,2006-01-10
2006.027344,0.000000,0.000000,-0.220497,0.000000,460.428000,6.857000,2006-01-11
2006.030151,0.000000,0.000000,3.219250,3.808150,460.879000,6.926000,2006-01-12
2006.032837,0.000000,0.000000,-2.888160,0.000457,461.331000,6.973000,2006-01-13
2006.035645,0.000000,0.000000,-0.099566,0.000838,461.802000,6.998000,2006-01-14
2006.038330,0.000000,0.000000,4.277780,0.762000,462.255000,6.996000,2006-01-15
2006.041016,0.000000,0.000000,-3.761970,0.514477,462.737000,6.968000,2006-01-16
2006.043823,0.000000,0.000000,-5.999590,0.000025,463.207000,6.919000,2006-01-17
2006.046509,0.000000,0.000000,-1.654150,0.495656,463.705000,6.843000,2006-01-18
2006.049316,0.000000,0.000000,1.053490,14.217000,464.188000,6.751000,2006-01-19
2006.052002,0.000000,0.000000,-3.275280,0.001676,464.677000,6.640000,2006-01-20
2006.054810,0.000000,0.000000,-3.448060,0.000000,465.193000,6.506000,2006-01-21
2006.057495,0.000000,0.000000,-3.666710,0.000000,465.689000,6.362000,2006-01-22
2006.060181,0.000000,0.000000,-6.053140,0.000000,466.211000,6.196000,2006-01-23
2006.062988,0.000000,0.000000,-5.158640,0.000000,466.712000,6.024000,2006-01-24
2006.065674,0.000000,0.000000,-3.194220,0.000000,467.236000,5.832000,2006-01-25
2006.068481,0.000000,0.000000,-0.753955,0.000000,467.737000,5.639000,2006-01-26
2006.071167,0.000000,0.000000,0.722120,0.000000,468.236000,5.437000,2006-01-27
2006.073975,0.000000,0.000000,-2.240130,1.777700,468.756000,5.219000,2006-01-28
2006.076660,0.000000,0.000000,-2.777780,1.269900,469.250000,5.005000,2006-01-29
2006.079346,0.000000,0.000000,-0.054187,0.001092,469.762000,4.777000,2006-01-30
2006.082153,0.000000,0.000000,2.833200,5.841390,470.246000,4.556000,2006-01-31
2006.084839,0.000000,0.000000,1.778280,1.018290,470.746000,4.325000,2006-02-01
2006.087646,0.000000,0.000000,2.888610,3.808500,471.216000,4.103000,2006-02-02
2006.090332,0.000000,0.000000,2.333400,0.513791,471.679000,3.884000,2006-02-03
2006.093140,0.000000,0.000000,2.450070,0.000559,472.153000,3.659000,2006-02-04
2006.095825,0.000000,0.000000,4.055560,0.508000,472.596000,3.448000,2006-02-05
2006.098511,0.000000,0.000000,-3.593190,0.000533,473.048000,3.234000,2006-02-06
2006.101318,0.000000,0.000000,-3.888580,0.000000,473.468000,3.038000,2006-02-07
2006.104004,0.000000,0.000000,-0.538571,0.000000,473.893000,2.842000,2006-02-08
2006.106812,0.000000,0.000000,2.222140,0.000000,474.286000,2.666000,2006-02-09
2006.109497,0.000000,0.000000,1.782950,0.000000,474.664000,2.502000,2006-02-10
2006.112305,0.000000,0.000000,-5.512200,0.000000,475.042000,2.345000,2006-02-11
2006.114990,0.000000,0.000000,-5.833330,0.000000,475.387000,2.211000,2006-02-12
2006.117676,0.000000,0.000000,-2.328130,0.000000,475.729000,2.088000,2006-02-13
2006.120483,0.000000,0.000000,-0.271623,0.000051,476.037000,1.989000,2006-02-14
2006.123169,0.000000,0.000000,0.333191,0.993318,476.341000,1.892000,2006-02-15
2006.125977,0.000000,0.000000,-5.605920,9.647170,476.616000,1.799000,2006-02-16
2006.128662,0.000000,0.000000,-8.444270,0.001092,476.877000,1.706000,2006-02-17
2006.131470,0.000000,0.000000,-7.335420,0.001676,477.136000,1.610000,2006-02-18
2006.134155,0.000000,0.000000,-9.222220,1.524000,477.372000,1.517000,2006-02-19
2006.136841,0.000000,0.000000,-6.058900,0.001600,477.607000,1.421000,2006-02-20
2006.139648,0.000000,0.000000,-7.444300,0.000000,477.823000,1.331000,2006-02-21
2006.142334,0.000000,0.000000,-5.316880,0.000000,478.039000,1.237000,2006-02-22
2006.145142,0.000000,0.000000,0.372262,0.000000,478.239000,1.148000,2006-02-23
