uniform_tvec, dvv, dv_err, temp_prism, ppt_prism, soil_nldas, snow_nldas, date 
2006.000000,0.000000,0.000000,-3.555560,35.306000,572.116000,160.675000,2006-01-01
2006.002686,0.000000,0.000000,-6.997510,6.624750,572.184000,164.890000,2006-01-02
2006.005493,0.000000,0.000000,-6.278020,17.017500,572.248000,168.827000,2006-01-03
2006.008179,0.000000,0.000000,-8.811590,10.764000,572.316000,172.831000,2006-01-04
2006.010986,0.000000,0.000000,-10.053700,1.525120,572.380000,176.542000,2006-01-05
2006.013672,0.000000,0.000000,-4.425420,3.809720,572.444000,180.124000,2006-01-06
2006.016479,0.000000,0.000000,1.386490,0.000381,572.512000,183.721000,2006-01-07
2006.019165,0.000000,0.000000,-2.722410,0.762051,572.576000,187.006000,2006-01-08
2006.021851,0.000000,0.000000,-12.158500,4.568340,572.644000,190.265000,2006-01-09
2006.024658,0.000000,0.000000,-10.035300,0.254000,572.708000,193.203000,2006-01-10
2006.027344,0.000000,0.000000,-4.335580,0.254000,572.775000,196.075000,2006-01-11
2006.030151,0.000000,0.000000,-4.564470,6.855610,572.840000,198.619000,2006-01-12
2006.032837,0.000000,0.000000,-11.832500,1.283560,572.904000,200.952000,2006-01-13
2006.035645,0.000000,0.000000,-4.378710,0.000762,572.972000,203.153000,2006-01-14
2006.038330,0.000000,0.000000,-4.111110,1.270100,573.036000,205.048000,2006-01-15
2006.041016,0.000000,0.000000,-11.029700,4.061610,573.104000,206.954000,2006-01-16
2006.043823,0.000000,0.000000,-13.943400,1.778280,573.168000,208.724000,2006-01-17
2006.046509,0.000000,0.000000,-5.504030,4.794450,573.236000,210.520000,2006-01-18
2006.049316,0.000000,0.000000,-8.211030,6.854650,573.300000,212.187000,2006-01-19
2006.052002,0.000000,0.000000,-12.772900,0.000813,573.364000,213.806000,2006-01-20
2006.054810,0.000000,0.000000,-13.166400,1.014880,573.432000,215.449000,2006-01-21
2006.057495,0.000000,0.000000,-12.888900,0.000000,573.496000,216.975000,2006-01-22
2006.060181,0.000000,0.000000,-12.944400,0.000000,573.564000,218.522000,2006-01-23
2006.062988,0.000000,0.000000,-7.407340,2.031920,573.628000,219.959000,2006-01-24
2006.065674,0.000000,0.000000,-1.557450,1.524230,573.695000,221.417000,2006-01-25
