uniform_tvec, dvv, dv_err, temp_prism, ppt_prism, soil_nldas, snow_nldas, date 
2006.000000,0.000000,0.000000,2.000000,3.810000,395.304000,0.696000,2006-01-01
2006.002686,0.000000,0.000000,-0.387162,0.002743,395.265000,0.735000,2006-01-02
2006.005493,0.000000,0.000000,1.777540,6.349240,395.230000,0.770000,2006-01-03
2006.008179,0.000000,0.000000,-0.539961,0.003048,395.194000,0.806000,2006-01-04
2006.010986,0.000000,0.000000,-1.332350,0.000000,395.162000,0.838000,2006-01-05
2006.013672,0.000000,0.000000,1.811660,0.000000,395.133000,0.867000,2006-01-06
2006.016479,0.000000,0.000000,5.498080,0.000000,395.105000,0.895000,2006-01-07
2006.019165,0.000000,0.000000,2.333200,0.000000,395.080000,0.920000,2006-01-08
2006.021851,0.000000,0.000000,-3.967660,0.000000,395.058000,0.942000,2006-01-09
2006.024658,0.000000,0.000000,-4.832820,0.000000,395.040000,0.961000,2006-01-10
2006.027344,0.000000,0.000000,0.081912,0.000000,395.024000,0.976000,2006-01-11
2006.030151,0.000000,0.000000,1.497890,0.000000,395.012000,0.988000,2006-01-12
2006.032837,0.000000,0.000000,-2.832820,0.000000,395.004000,0.996000,2006-01-13
2006.035645,0.000000,0.000000,1.476820,0.000000,395.000000,1.000000,2006-01-14
2006.038330,0.000000,0.000000,2.500000,0.000000,395.003000,0.999000,2006-01-15
2006.041016,0.000000,0.000000,-4.347340,3.298440,395.023000,0.992000,2006-01-16
2006.043823,0.000000,0.000000,-8.221610,0.000000,395.060000,0.980000,2006-01-17
2006.046509,0.000000,0.000000,-2.317550,0.000000,395.115000,0.962000,2006-01-18
2006.049316,0.000000,0.000000,-0.280261,4.315890,395.182000,0.939000,2006-01-19
2006.052002,0.000000,0.000000,-5.878200,0.000508,395.262000,0.913000,2006-01-20
2006.054810,0.000000,0.000000,-6.832060,0.000000,395.359000,0.880000,2006-01-21
2006.057495,0.000000,0.000000,-5.666670,0.000000,395.462000,0.846000,2006-01-22
2006.060181,0.000000,0.000000,-6.443610,0.000000,395.580000,0.807000,2006-01-23
2006.062988,0.000000,0.000000,-4.203650,0.000000,395.702000,0.766000,2006-01-24
2006.065674,0.000000,0.000000,-0.334734,0.000000,395.836000,0.721000,2006-01-25
2006.068481,0.000000,0.000000,-1.777640,11.171400,395.970000,0.677000,2006-01-26
2006.071167,0.000000,0.000000,-1.500030,1.779090,396.109000,0.630000,2006-01-27
2006.073975,0.000000,0.000000,-4.457580,3.298820,396.257000,0.581000,2006-01-28
2006.076660,0.000000,0.000000,-4.833330,0.253949,396.401000,0.533000,2006-01-29
2006.079346,0.000000,0.000000,-1.956060,0.000102,396.553000,0.482000,2006-01-30
2006.082153,0.000000,0.000000,2.444140,0.000000,396.698000,0.434000,2006-01-31
2006.084839,0.000000,0.000000,0.001153,0.000000,396.847000,0.384000,2006-02-01
2006.087646,0.000000,0.000000,3.110100,0.003378,396.987000,0.338000,2006-02-02
2006.090332,0.000000,0.000000,0.456255,6.857210,397.122000,0.293000,2006-02-03
2006.093140,0.000000,0.000000,-0.996763,0.000000,397.259000,0.247000,2006-02-04
2006.095825,0.000000,0.000000,1.944440,0.000000,397.382000,0.206000,2006-02-05
2006.098511,0.000000,0.000000,-4.770640,0.000000,397.503000,0.166000,2006-02-06
2006.101318,0.000000,0.000000,-1.753970,0.000000,397.610000,0.130000,2006-02-07
2006.104004,0.000000,0.000000,2.716730,0.000000,397.710000,0.097000,2006-02-08
2006.106812,0.000000,0.000000,2.891400,0.000000,397.794000,0.069000,2006-02-09
2006.109497,0.000000,0.000000,3.111090,0.000000,397.865000,0.045000,2006-02-10
2006.112305,0.000000,0.000000,-4.777400,0.000000,397.925000,0.025000,2006-02-11
2006.114990,0.000000,0.000000,-3.999750,0.000000,397.967000,0.011000,2006-02-12
2006.117676,0.000000,0.000000,0.015195,0.000000,397.993000,0.002000,2006-02-13
2006.120483,0.000000,0.000000,1.399400,0.000000,398.000000,0.000000,2006-02-14
2006.123169,0.000000,0.000000,3.332670,0.000000,397.996000,0.000000,2006-02-15
2006.125977,0.000000,0.000000,-3.246760,2.538730,397.985000,0.000000,2006-02-16
2006.128662,0.000000,0.000000,-8.944020,0.000279,397.968000,0.000000,2006-02-17
2006.131470,0.000000,0.000000,-3.389110,0.000000,397.945000,0.000000,2006-02-18
2006.134155,0.000000,0.000000,-3.722310,0.000000,397.917000,0.000000,2006-02-19
2006.136841,0.000000,0.000000,-4.207470,4.567170,397.881000,0.000000,2006-02-20
2006.139648,0.000000,0.000000,-6.112490,0.000000,397.843000,0.000000,2006-02-21
2006.142334,0.000000,0.000000,-6.222200,0.000000,397.797000,0.000000,2006-02-22
2006.145142,0.000000,0.000000,-3.405510,0.000000,397.748000,0.000000,2006-02-23
2006.147827,0.000000,0.000000,-0.237887,0.000000,397.695000,0.000000,2006-02-24
2006.150635,0.000000,0.000000,1.915800,0.000000,397.635000,0.000000,2006-02-25
2006.153320,0.000000,0.000000,2.944780,0.000000,397.574000,0.000000,2006-02-26
2006.156006,0.000000,0.000000,4.570940,0.000000,397.506000,0.000000,2006-02-27
2006.158813,0.000000,0.000000,7.610950,0.000813,397.438000,0.000000,2006-02-28
2006.161499,0.000000,0.000000,5.694660,6.093180,397.363000,0.000000,2006-03-01
2006.164307,0.000000,0.000000,3.055850,0.000000,397.288000,0.000000,2006-03-02
2006.166992,0.000000,0.000000,4.048030,0.000000,397.210000,0.000000,2006-03-03
2006.169800,0.000000,0.000000,5.663820,0.000000,397.126000,0.000000,2006-03-04
2006.172485,0.000000,0.000000,3.111110,0.000000,397.043000,0.000000,2006-03-05
2006.175171,0.000000,0.000000,5.074930,0.000000,396.955000,0.000000,2006-03-06
2006.177979,0.000000,0.000000,6.888520,0.000584,396.868000,0.000000,2006-03-07
2006.180664,0.000000,0.000000,2.507910,4.316020,396.776000,0.000000,2006-03-08
2006.183472,0.000000,0.000000,-3.444020,2.545280,396.687000,0.000000,2006-03-09
2006.186157,0.000000,0.000000,-2.611200,12.952900,396.596000,0.000000,2006-03-10
2006.188965,0.000000,0.000000,-5.944300,4.321680,396.500000,0.000000,2006-03-11
2006.191650,0.000000,0.000000,-5.722130,7.620000,396.408000,0.000000,2006-03-12
2006.194336,0.000000,0.000000,-5.389150,1.314910,396.311000,0.000000,2006-03-13
2006.197144,0.000000,0.000000,-5.610640,0.000000,396.218000,0.000000,2006-03-14
2006.199829,0.000000,0.000000,-1.844680,0.000000,396.121000,0.000000,2006-03-15
2006.202637,0.000000,0.000000,-1.377750,0.000000,396.029000,0.000000,2006-03-16
2006.205322,0.000000,0.000000,1.817140,0.000000,395.936000,0.000000,2006-03-17
2006.208130,0.000000,0.000000,4.107990,0.006274,395.837000,0.000000,2006-03-18
2006.210815,0.000000,0.000000,0.387874,5.588000,395.739000,0.000000,2006-03-19
2006.213501,0.000000,0.000000,-1.887490,3.853560,395.634000,0.000000,2006-03-20
2006.216309,0.000000,0.000000,-1.440430,0.509194,395.530000,0.000000,2006-03-21
