uniform_tvec, dvv, dv_err, temp_prism, ppt_prism, soil_nldas, snow_nldas, date 
2006.000000,0.000000,0.000000,0.388889,0.762000,468.963000,0.696000,2006-01-01
2006.002686,0.000000,0.000000,0.111313,0.000559,469.138000,0.735000,2006-01-02
2006.005493,0.000000,0.000000,0.500619,9.904810,469.303000,0.770000,2006-01-03
2006.008179,0.000000,0.000000,0.555543,0.004775,469.474000,0.806000,2006-01-04
2006.010986,0.000000,0.000000,-0.832772,0.000000,469.634000,0.838000,2006-01-05
2006.013672,0.000000,0.000000,1.041590,0.000000,469.792000,0.867000,2006-01-06
2006.016479,0.000000,0.000000,3.665270,0.000000,469.954000,0.895000,2006-01-07
2006.019165,0.000000,0.000000,1.333230,0.000000,470.105000,0.920000,2006-01-08
2006.021851,0.000000,0.000000,-3.585360,0.000000,470.259000,0.942000,2006-01-09
2006.024658,0.000000,0.000000,-4.277540,0.000000,470.403000,0.961000,2006-01-10
2006.027344,0.000000,0.000000,-2.121270,0.000000,470.549000,0.976000,2006-01-11
2006.030151,0.000000,0.000000,-1.667670,0.253873,470.684000,0.988000,2006-01-12
2006.032837,0.000000,0.000000,-3.721980,0.000025,470.815000,0.996000,2006-01-13
2006.035645,0.000000,0.000000,-1.181220,0.000000,470.947000,1.000000,2006-01-14
2006.038330,0.000000,0.000000,0.611110,0.000000,471.067000,0.999000,2006-01-15
2006.041016,0.000000,0.000000,-3.092900,0.000000,471.187000,0.992000,2006-01-16
2006.043823,0.000000,0.000000,-6.999560,0.000000,471.297000,0.980000,2006-01-17
2006.046509,0.000000,0.000000,-2.966180,0.000000,471.407000,0.962000,2006-01-18
2006.049316,0.000000,0.000000,-1.945800,4.823640,471.508000,0.939000,2006-01-19
2006.052002,0.000000,0.000000,-4.994310,0.000559,471.605000,0.913000,2006-01-20
2006.054810,0.000000,0.000000,-5.499640,0.000000,471.703000,0.880000,2006-01-21
2006.057495,0.000000,0.000000,-5.166670,0.000000,471.794000,0.846000,2006-01-22
2006.060181,0.000000,0.000000,-5.444150,0.000000,471.886000,0.807000,2006-01-23
2006.062988,0.000000,0.000000,-3.819350,0.000000,471.972000,0.766000,2006-01-24
