uniform_tvec, dvv, dv_err, temp_prism, ppt_prism, soil_nldas, snow_nldas, date 
2006.000000,0.000000,0.000000,1.944440,14.732000,388.160000,0.304000,2006-01-01
2006.002686,0.000000,0.000000,-0.664780,5.594600,390.108000,0.265000,2006-01-02
2006.005493,0.000000,0.000000,1.610990,13.715500,391.942000,0.230000,2006-01-03
2006.008179,0.000000,0.000000,0.023181,7.706940,393.825000,0.194000,2006-01-04
2006.010986,0.000000,0.000000,-2.054760,0.000000,395.589000,0.162000,2006-01-05
2006.013672,0.000000,0.000000,0.754867,0.000000,397.313000,0.133000,2006-01-06
2006.016479,0.000000,0.000000,5.721280,0.001118,399.069000,0.105000,2006-01-07
2006.019165,0.000000,0.000000,3.833230,1.016000,400.701000,0.080000,2006-01-08
2006.021851,0.000000,0.000000,-4.457740,0.001092,402.353000,0.058000,2006-01-09
2006.024658,0.000000,0.000000,-5.554770,0.000000,403.877000,0.040000,2006-01-10
2006.027344,0.000000,0.000000,0.883098,0.000000,405.408000,0.024000,2006-01-11
2006.030151,0.000000,0.000000,0.997268,6.346900,406.810000,0.012000,2006-01-12
2006.032837,0.000000,0.000000,-4.610440,0.000762,408.146000,0.004000,2006-01-13
2006.035645,0.000000,0.000000,0.294594,0.001118,409.469000,0.000000,2006-01-14
2006.038330,0.000000,0.000000,3.277780,1.778150,410.668000,0.000000,2006-01-15
2006.041016,0.000000,0.000000,-5.010610,4.823540,411.886000,0.000000,2006-01-16
2006.043823,0.000000,0.000000,-8.666270,0.000686,413.025000,0.000000,2006-01-17
2006.046509,0.000000,0.000000,-4.163430,5.827670,414.188000,0.000000,2006-01-18
2006.049316,0.000000,0.000000,-0.447154,6.358970,415.275000,0.000000,2006-01-19
2006.052002,0.000000,0.000000,-6.053540,7.365900,416.337000,0.000000,2006-01-20
2006.054810,0.000000,0.000000,-6.166670,0.982523,417.424000,0.000000,2006-01-21
2006.057495,0.000000,0.000000,-6.166670,0.000000,418.440000,0.000000,2006-01-22
2006.060181,0.000000,0.000000,-7.385640,0.000000,419.480000,0.000000,2006-01-23
2006.062988,0.000000,0.000000,-7.443930,1.021610,420.454000,0.000000,2006-01-24
2006.065674,0.000000,0.000000,-2.265690,1.764130,421.451000,0.000000,2006-01-25
2006.068481,0.000000,0.000000,0.222098,3.808250,422.387000,0.000000,2006-01-26
2006.071167,0.000000,0.000000,-0.382188,0.254406,423.304000,0.000000,2006-01-27
2006.073975,0.000000,0.000000,-4.864640,2.865910,424.245000,0.000000,2006-01-28
2006.076660,0.000000,0.000000,-5.833330,8.636000,425.129000,0.000000,2006-01-29
2006.079346,0.000000,0.000000,-3.500740,3.845790,426.038000,0.000000,2006-01-30
2006.082153,0.000000,0.000000,0.388677,2.794050,426.892000,0.000000,2006-01-31
2006.084839,0.000000,0.000000,-1.276990,3.539360,427.772000,0.000000,2006-02-01
2006.087646,0.000000,0.000000,0.276873,8.635800,428.600000,0.000000,2006-02-02
2006.090332,0.000000,0.000000,-1.555340,7.631130,429.418000,0.000000,2006-02-03
2006.093140,0.000000,0.000000,-1.495740,0.001956,430.262000,0.000000,2006-02-04
2006.095825,0.000000,0.000000,0.555553,1.778000,431.059000,0.000000,2006-02-05
2006.098511,0.000000,0.000000,-6.381510,0.001905,431.883000,0.000000,2006-02-06
2006.101318,0.000000,0.000000,-4.593150,0.000000,432.664000,0.000000,2006-02-07
2006.104004,0.000000,0.000000,0.860437,0.000000,433.473000,0.000000,2006-02-08
2006.106812,0.000000,0.000000,2.221980,0.000000,434.241000,0.000000,2006-02-09
2006.109497,0.000000,0.000000,1.068100,0.000000,435.004000,0.000000,2006-02-10
2006.112305,0.000000,0.000000,-6.833220,0.000000,435.797000,0.000000,2006-02-11
2006.114990,0.000000,0.000000,-6.555450,0.000000,436.553000,0.000000,2006-02-12
2006.117676,0.000000,0.000000,-1.623900,0.000000,437.341000,0.000000,2006-02-13
2006.120483,0.000000,0.000000,-1.386150,0.000025,438.093000,0.000000,2006-02-14
2006.123169,0.000000,0.000000,0.221532,0.495833,438.859000,0.000000,2006-02-15
2006.125977,0.000000,0.000000,-6.279340,12.947500,439.565000,0.000000,2006-02-16
2006.128662,0.000000,0.000000,-9.555340,0.001473,440.245000,0.000000,2006-02-17
2006.131470,0.000000,0.000000,-6.545790,0.270408,440.932000,0.000000,2006-02-18
2006.134155,0.000000,0.000000,-6.277780,6.858000,441.568000,0.000000,2006-02-19
2006.136841,0.000000,0.000000,-7.368590,3.874740,442.214000,0.000000,2006-02-20
2006.139648,0.000000,0.000000,-8.390770,0.000000,442.815000,0.000000,2006-02-21
2006.142334,0.000000,0.000000,-8.555520,0.000000,443.428000,0.000000,2006-02-22
2006.145142,0.000000,0.000000,-3.560480,0.000000,444.004000,0.000000,2006-02-23
2006.147827,0.000000,0.000000,-0.401784,0.000000,444.570000,0.000000,2006-02-24
2006.150635,0.000000,0.000000,1.202010,0.000000,445.154000,0.000000,2006-02-25
2006.153320,0.000000,0.000000,3.333890,0.000000,445.708000,0.000000,2006-02-26
2006.156006,0.000000,0.000000,5.400620,0.253721,446.285000,0.000000,2006-02-27
2006.158813,0.000000,0.000000,8.055100,0.001194,446.836000,0.000000,2006-02-28
2006.161499,0.000000,0.000000,3.434420,9.139780,447.415000,0.000000,2006-03-01
2006.164307,0.000000,0.000000,0.501961,0.000000,447.973000,0.000000,2006-03-02
2006.166992,0.000000,0.000000,4.388460,0.000000,448.537000,0.000000,2006-03-03
2006.169800,0.000000,0.000000,4.267840,0.004242,449.137000,0.000000,2006-03-04
2006.172485,0.000000,0.000000,-0.999999,3.810000,449.722000,0.000000,2006-03-05
2006.175171,0.000000,0.000000,3.446110,0.003988,450.348000,0.000000,2006-03-06
2006.177979,0.000000,0.000000,5.443790,0.258216,450.962000,0.000000,2006-03-07
2006.180664,0.000000,0.000000,-0.514199,7.616700,451.624000,0.000000,2006-03-08
2006.183472,0.000000,0.000000,-2.755530,5.843800,452.277000,0.000000,2006-03-09
2006.186157,0.000000,0.000000,-5.715020,9.397620,452.953000,0.000000,2006-03-10
2006.188965,0.000000,0.000000,-6.443140,0.001727,453.686000,0.000000,2006-03-11
2006.191650,0.000000,0.000000,-5.277780,2.795240,454.414000,0.000000,2006-03-12
2006.194336,0.000000,0.000000,-5.555270,8.631200,455.207000,0.000000,2006-03-13
2006.197144,0.000000,0.000000,-4.937070,1.778130,455.997000,0.000000,2006-03-14
2006.199829,0.000000,0.000000,-1.390360,2.793540,456.860000,0.000000,2006-03-15
2006.202637,0.000000,0.000000,-2.332310,1.778000,457.721000,0.000000,2006-03-16
2006.205322,0.000000,0.000000,0.430537,1.778000,458.650000,0.000000,2006-03-17
2006.208130,0.000000,0.000000,2.388100,3.341930,459.782000,0.000000,2006-03-18
2006.210815,0.000000,0.000000,1.054870,6.351470,461.012000,0.000000,2006-03-19
2006.213501,0.000000,0.000000,-2.330470,12.441000,462.437000,0.000000,2006-03-20
2006.216309,0.000000,0.000000,-1.156940,2.540300,463.922000,0.000000,2006-03-21
2006.218994,0.000000,0.000000,0.666048,4.824960,465.587000,0.000000,2006-03-22
2006.221802,0.000000,0.000000,-0.610342,0.000000,467.274000,0.000000,2006-03-23
2006.224487,0.000000,0.000000,1.925430,0.000000,469.042000,0.000000,2006-03-24
2006.227295,0.000000,0.000000,6.110900,0.000965,470.962000,0.000000,2006-03-25
2006.229980,0.000000,0.000000,5.610740,1.524790,472.854000,0.000000,2006-03-26
2006.232666,0.000000,0.000000,-1.326450,4.569540,474.876000,0.000000,2006-03-27
2006.235474,0.000000,0.000000,3.175080,0.001397,476.841000,0.000000,2006-03-28
2006.238159,0.000000,0.000000,3.888750,12.600900,478.912000,0.000000,2006-03-29
2006.240967,0.000000,0.000000,1.660200,18.279000,480.896000,0.000000,2006-03-30
2006.243652,0.000000,0.000000,1.388900,0.763854,482.872000,0.000000,2006-03-31
2006.246460,0.000000,0.000000,4.384680,2.815670,484.913000,0.000000,2006-04-01
2006.249146,0.000000,0.000000,0.666667,3.556000,486.830000,0.000000,2006-04-02
2006.251831,0.000000,0.000000,2.772380,0.511150,488.784000,0.000000,2006-04-03
2006.254639,0.000000,0.000000,9.459520,0.507924,490.590000,0.000000,2006-04-04
2006.257324,0.000000,0.000000,10.777500,0.000229,492.401000,0.000000,2006-04-05
2006.260132,0.000000,0.000000,3.928240,7.975520,494.045000,0.000000,2006-04-06
2006.262817,0.000000,0.000000,-0.499718,15.239500,495.591000,0.000000,2006-04-07
2006.265625,0.000000,0.000000,4.753620,1.971220,497.088000,0.000000,2006-04-08
2006.268311,0.000000,0.000000,8.556650,0.253797,498.393000,0.000000,2006-04-09
2006.270996,0.000000,0.000000,10.276800,0.000102,499.610000,0.000000,2006-04-10
2006.273804,0.000000,0.000000,6.000010,1.523800,500.622000,0.000000,2006-04-11
2006.276489,0.000000,0.000000,6.271410,0.000686,501.507000,0.000000,2006-04-12
2006.279297,0.000000,0.000000,10.531600,0.000051,502.173000,0.000000,2006-04-13
2006.281982,0.000000,0.000000,12.166600,0.251104,502.652000,0.000000,2006-04-14
2006.284790,0.000000,0.000000,9.726760,9.661600,502.938000,0.000000,2006-04-15
2006.287476,0.000000,0.000000,7.055560,9.906000,502.997000,0.000000,2006-04-16
2006.290161,0.000000,0.000000,9.441990,0.517652,502.918000,0.000000,2006-04-17
2006.292969,0.000000,0.000000,1.523340,9.396680,502.744000,0.000000,2006-04-18
2006.295654,0.000000,0.000000,-1.776990,0.004191,502.465000,0.000000,2006-04-19
2006.298462,0.000000,0.000000,1.043570,0.000000,502.108000,0.000000,2006-04-20
2006.301147,0.000000,0.000000,4.972780,0.000000,501.666000,0.000000,2006-04-21
2006.303955,0.000000,0.000000,10.633400,0.000000,501.119000,0.000000,2006-04-22
2006.306641,0.000000,0.000000,13.611100,0.000000,500.517000,0.000000,2006-04-23
2006.309326,0.000000,0.000000,9.142730,0.000000,499.809000,0.000000,2006-04-24
2006.312134,0.000000,0.000000,4.389190,5.841160,499.061000,0.000000,2006-04-25
2006.314819,0.000000,0.000000,7.409180,0.002591,498.209000,0.000000,2006-04-26
2006.317627,0.000000,0.000000,10.125300,0.000000,497.330000,0.000000,2006-04-27
2006.320312,0.000000,0.000000,10.777700,0.000000,496.394000,0.000000,2006-04-28
2006.323120,0.000000,0.000000,9.389070,0.000000,495.357000,0.000000,2006-04-29
2006.325806,0.000000,0.000000,9.611220,0.000000,494.312000,0.000000,2006-04-30
2006.328491,0.000000,0.000000,9.772460,0.000000,493.170000,0.000000,2006-05-01
2006.331299,0.000000,0.000000,10.944400,0.000000,492.034000,0.000000,2006-05-02
2006.333984,0.000000,0.000000,10.504700,0.000000,490.803000,0.000000,2006-05-03
2006.336792,0.000000,0.000000,10.159300,0.005080,489.590000,0.000000,2006-05-04
2006.339478,0.000000,0.000000,8.787590,9.651030,488.344000,0.000000,2006-05-05
2006.342285,0.000000,0.000000,6.612740,6.004000,487.011000,0.000000,2006-05-06
2006.344971,0.000000,0.000000,8.723450,0.000000,485.711000,0.000000,2006-05-07
2006.347656,0.000000,0.000000,10.776400,0.253746,484.329000,0.000000,2006-05-08
2006.350464,0.000000,0.000000,8.205120,0.000000,482.990000,0.000000,2006-05-09
2006.353149,0.000000,0.000000,5.889550,0.000000,481.576000,0.000000,2006-05-10
2006.355957,0.000000,0.000000,6.911500,0.000000,480.213000,0.000000,2006-05-11
2006.358643,0.000000,0.000000,11.196100,0.000000,478.844000,0.000000,2006-05-12
2006.361450,0.000000,0.000000,15.972000,0.000000,477.410000,0.000000,2006-05-13
2006.364136,0.000000,0.000000,16.778200,0.000000,476.040000,0.000000,2006-05-14
2006.366821,0.000000,0.000000,17.267000,0.000000,474.613000,0.000000,2006-05-15
2006.369629,0.000000,0.000000,18.005100,0.000000,473.257000,0.000000,2006-05-16
2006.372314,0.000000,0.000000,18.718000,0.000000,471.805000,0.000000,2006-05-17
2006.375122,0.000000,0.000000,18.949100,0.000000,470.303000,0.000000,2006-05-18
2006.377808,0.000000,0.000000,19.611100,0.000000,468.694000,0.000000,2006-05-19
2006.380615,0.000000,0.000000,18.500500,0.000000,466.903000,0.000000,2006-05-20
2006.383301,0.000000,0.000000,18.944400,0.000000,465.093000,0.000000,2006-05-21
2006.385986,0.000000,0.000000,18.622600,0.000000,463.105000,0.000000,2006-05-22
2006.388794,0.000000,0.000000,13.209800,1.269820,461.119000,0.000000,2006-05-23
2006.391479,0.000000,0.000000,12.166900,0.000559,458.961000,0.000000,2006-05-24
2006.394287,0.000000,0.000000,15.987700,0.000000,456.825000,0.000000,2006-05-25
2006.396973,0.000000,0.000000,18.722100,0.000000,454.624000,0.000000,2006-05-26
2006.399780,0.000000,0.000000,17.565600,0.003505,452.260000,0.000000,2006-05-27
2006.402466,0.000000,0.000000,8.439380,4.320670,449.946000,0.000000,2006-05-28
2006.405151,0.000000,0.000000,2.281520,7.871710,447.476000,0.000000,2006-05-29
2006.407959,0.000000,0.000000,6.580680,0.000000,445.074000,0.000000,2006-05-30
2006.410645,0.000000,0.000000,9.573140,0.000000,442.525000,0.000000,2006-05-31
2006.413452,0.000000,0.000000,12.946000,0.000000,440.059000,0.000000,2006-06-01
2006.416138,0.000000,0.000000,18.595200,0.000000,437.571000,0.000000,2006-06-02
2006.418945,0.000000,0.000000,20.441900,0.000000,434.953000,0.000000,2006-06-03
2006.421631,0.000000,0.000000,18.277800,0.000000,432.439000,0.000000,2006-06-04
2006.424316,0.000000,0.000000,19.648400,0.000000,429.806000,0.000000,2006-06-05
2006.427124,0.000000,0.000000,20.397600,0.000076,427.291000,0.000000,2006-06-06
2006.429810,0.000000,0.000000,23.609900,0.507771,424.671000,0.000000,2006-06-07
2006.432617,0.000000,0.000000,20.112900,0.002210,422.179000,0.000000,2006-06-08
2006.435303,0.000000,0.000000,15.569800,6.561200,419.709000,0.000000,2006-06-09
2006.438110,0.000000,0.000000,13.833900,15.475900,417.155000,0.000000,2006-06-10
2006.440796,0.000000,0.000000,14.834500,0.000000,414.745000,0.000000,2006-06-11
2006.443481,0.000000,0.000000,18.230100,0.000000,412.268000,0.000000,2006-06-12
2006.446289,0.000000,0.000000,20.277700,0.000127,409.945000,0.000000,2006-06-13
2006.448975,0.000000,0.000000,18.916100,0.761670,407.571000,0.000000,2006-06-14
2006.451782,0.000000,0.000000,12.576500,0.000000,405.359000,0.000000,2006-06-15
2006.454468,0.000000,0.000000,11.000100,0.000000,403.204000,0.000000,2006-06-16
2006.457275,0.000000,0.000000,11.405700,0.000000,400.941000,0.000000,2006-06-17
2006.459961,0.000000,0.000000,15.559000,0.000000,398.752000,0.000000,2006-06-18
2006.462646,0.000000,0.000000,20.087500,0.000000,396.440000,0.000000,2006-06-19
2006.465454,0.000000,0.000000,20.777300,0.000000,394.211000,0.000000,2006-06-20
2006.468140,0.000000,0.000000,17.390300,0.000000,391.866000,0.000000,2006-06-21
2006.470947,0.000000,0.000000,17.999500,0.000152,389.611000,0.000000,2006-06-22
2006.473633,0.000000,0.000000,17.166700,0.253975,387.349000,0.000000,2006-06-23
2006.476440,0.000000,0.000000,19.593400,0.000000,384.979000,0.000000,2006-06-24
2006.479126,0.000000,0.000000,21.111100,0.000000,382.712000,0.000000,2006-06-25
2006.481812,0.000000,0.000000,20.112100,0.000000,380.344000,0.000000,2006-06-26
2006.484619,0.000000,0.000000,20.833300,0.000000,378.084000,0.000000,2006-06-27
2006.487305,0.000000,0.000000,20.555700,0.000000,375.732000,0.000000,2006-06-28
2006.490112,0.000000,0.000000,21.888700,0.000000,373.496000,0.000000,2006-06-29
2006.492798,0.000000,0.000000,21.226300,0.000000,371.274000,0.000000,2006-06-30
2006.495605,0.000000,0.000000,20.388900,3.551810,368.973000,0.000000,2006-07-01
2006.498291,0.000000,0.000000,20.388900,0.000000,366.794000,0.000000,2006-07-02
2006.500977,0.000000,0.000000,20.931900,0.000000,364.544000,0.000000,2006-07-03
2006.503784,0.000000,0.000000,21.833000,0.770966,362.422000,0.000000,2006-07-04
2006.506470,0.000000,0.000000,19.622400,3.554980,360.238000,0.000000,2006-07-05
2006.509277,0.000000,0.000000,19.046000,0.255956,358.186000,0.000000,2006-07-06
2006.511963,0.000000,0.000000,18.166700,3.809670,356.173000,0.000000,2006-07-07
2006.514771,0.000000,0.000000,18.903400,0.000889,354.114000,0.000000,2006-07-08
2006.517456,0.000000,0.000000,19.611600,0.762000,352.192000,0.000000,2006-07-09
2006.520142,0.000000,0.000000,19.993500,0.000762,350.235000,0.000000,2006-07-10
2006.522949,0.000000,0.000000,20.333300,0.000330,348.417000,0.000000,2006-07-11
2006.525635,0.000000,0.000000,20.222300,2.031160,346.576000,0.000000,2006-07-12
2006.528442,0.000000,0.000000,20.449600,0.000000,344.876000,0.000000,2006-07-13
2006.531128,0.000000,0.000000,21.436600,0.000000,343.238000,0.000000,2006-07-14
2006.533936,0.000000,0.000000,23.978200,0.000000,341.597000,0.000000,2006-07-15
2006.536621,0.000000,0.000000,25.222800,0.000000,340.098000,0.000000,2006-07-16
2006.539307,0.000000,0.000000,25.605200,0.000000,338.565000,0.000000,2006-07-17
2006.542114,0.000000,0.000000,25.888800,0.000025,337.083000,0.000000,2006-07-18
2006.544800,0.000000,0.000000,25.070800,0.248183,335.523000,0.000000,2006-07-19
2006.547607,0.000000,0.000000,22.158500,9.392770,334.023000,0.000000,2006-07-20
2006.550293,0.000000,0.000000,21.833300,0.000838,332.520000,0.000000,2006-07-21
2006.553101,0.000000,0.000000,24.972100,0.000000,330.949000,0.000000,2006-07-22
2006.555786,0.000000,0.000000,25.833300,0.000000,329.452000,0.000000,2006-07-23
2006.558472,0.000000,0.000000,25.293400,0.000000,327.896000,0.000000,2006-07-24
2006.561279,0.000000,0.000000,23.375400,0.761873,326.420000,0.000000,2006-07-25
2006.563965,0.000000,0.000000,21.611600,0.000305,324.896000,0.000000,2006-07-26
2006.566772,0.000000,0.000000,23.002800,0.000000,323.458000,0.000000,2006-07-27
2006.569458,0.000000,0.000000,23.110000,0.000000,322.045000,0.000000,2006-07-28
2006.572266,0.000000,0.000000,24.832700,0.000000,320.598000,0.000000,2006-07-29
2006.574951,0.000000,0.000000,23.943300,0.000000,319.247000,0.000000,2006-07-30
2006.577637,0.000000,0.000000,22.152300,2.493140,317.874000,0.000000,2006-07-31
2006.580444,0.000000,0.000000,19.084800,5.080000,316.601000,0.000000,2006-08-01
2006.583130,0.000000,0.000000,14.834600,5.080000,315.317000,0.000000,2006-08-02
2006.585938,0.000000,0.000000,17.966700,1.243840,314.139000,0.000000,2006-08-03
2006.588623,0.000000,0.000000,19.049600,0.000051,313.012000,0.000000,2006-08-04
2006.591431,0.000000,0.000000,20.170600,0.000000,311.895000,0.000000,2006-08-05
2006.594116,0.000000,0.000000,20.278000,0.000000,310.886000,0.000000,2006-08-06
2006.596802,0.000000,0.000000,21.165900,0.761263,309.901000,0.000000,2006-08-07
2006.599609,0.000000,0.000000,20.833500,0.000000,309.027000,0.000000,2006-08-08
2006.602295,0.000000,0.000000,21.777400,0.000000,308.191000,0.000000,2006-08-09
2006.605103,0.000000,0.000000,21.051800,0.000000,307.468000,0.000000,2006-08-10
2006.607788,0.000000,0.000000,20.888900,0.000000,306.825000,0.000000,2006-08-11
2006.610596,0.000000,0.000000,21.221500,0.761086,306.241000,0.000000,2006-08-12
2006.613281,0.000000,0.000000,20.388200,0.000000,305.773000,0.000000,2006-08-13
2006.615967,0.000000,0.000000,19.889200,1.776270,305.380000,0.000000,2006-08-14
2006.618774,0.000000,0.000000,21.000000,0.000178,305.103000,0.000000,2006-08-15
2006.621460,0.000000,0.000000,20.945500,1.015590,304.904000,0.000000,2006-08-16
2006.624268,0.000000,0.000000,20.660600,0.000000,304.731000,0.000000,2006-08-17
2006.626953,0.000000,0.000000,19.728200,0.000000,304.562000,0.000000,2006-08-18
2006.629761,0.000000,0.000000,18.334800,0.507390,304.390000,0.000000,2006-08-19
2006.632446,0.000000,0.000000,20.112900,0.000000,304.230000,0.000000,2006-08-20
2006.635132,0.000000,0.000000,21.587400,0.000000,304.068000,0.000000,2006-08-21
2006.637939,0.000000,0.000000,22.784100,0.000000,303.917000,0.000000,2006-08-22
2006.640625,0.000000,0.000000,23.444300,0.000000,303.766000,0.000000,2006-08-23
