uniform_tvec, dvv, dv_err, temp_prism, ppt_prism, soil_nldas, snow_nldas, date 
2006.000000,0.000000,0.000000,2.666670,11.684000,521.784000,1.304000,2006-01-01
2006.002686,0.000000,0.000000,0.057441,1.277520,523.529000,1.265000,2006-01-02
2006.005493,0.000000,0.000000,2.444360,10.920800,525.169000,1.230000,2006-01-03
2006.008179,0.000000,0.000000,1.189630,0.525043,526.849000,1.194000,2006-01-04
2006.010986,0.000000,0.000000,-1.907290,0.000000,528.420000,1.162000,2006-01-05
2006.013672,0.000000,0.000000,-2.833280,0.000000,529.951000,1.133000,2006-01-06
2006.016479,0.000000,0.000000,2.529020,0.004953,531.507000,1.105000,2006-01-07
2006.019165,0.000000,0.000000,3.388890,4.572000,532.946000,1.080000,2006-01-08
2006.021851,0.000000,0.000000,-5.096620,0.004928,534.398000,1.058000,2006-01-09
2006.024658,0.000000,0.000000,-7.221610,0.000000,535.732000,1.040000,2006-01-10
2006.027344,0.000000,0.000000,-1.155820,0.000000,537.064000,1.024000,2006-01-11
2006.030151,0.000000,0.000000,1.219460,8.124040,538.277000,1.012000,2006-01-12
2006.032837,0.000000,0.000000,-4.443770,0.000965,539.424000,1.004000,2006-01-13
2006.035645,0.000000,0.000000,-1.709460,0.003048,540.551000,1.000000,2006-01-14
2006.038330,0.000000,0.000000,3.000000,2.794000,541.563000,1.002000,2006-01-15
2006.041016,0.000000,0.000000,-5.929020,0.265176,542.589000,1.016000,2006-01-16
2006.043823,0.000000,0.000000,-8.055050,0.000102,543.545000,1.040000,2006-01-17
2006.046509,0.000000,0.000000,-3.145740,1.495910,544.519000,1.077000,2006-01-18
2006.049316,0.000000,0.000000,-1.335070,5.585260,545.428000,1.121000,2006-01-19
2006.052002,0.000000,0.000000,-4.942680,0.000660,546.314000,1.175000,2006-01-20
2006.054810,0.000000,0.000000,-5.059660,0.761162,547.218000,1.239000,2006-01-21
2006.057495,0.000000,0.000000,-5.889010,0.000000,548.062000,1.308000,2006-01-22
2006.060181,0.000000,0.000000,-7.887170,0.000000,548.924000,1.387000,2006-01-23
2006.062988,0.000000,0.000000,-6.711930,0.000000,549.729000,1.468000,2006-01-24
2006.065674,0.000000,0.000000,-4.312650,0.000000,550.552000,1.557000,2006-01-25
2006.068481,0.000000,0.000000,-1.092420,0.000356,551.321000,1.647000,2006-01-26
2006.071167,0.000000,0.000000,-0.166721,1.259410,552.075000,1.739000,2006-01-27
2006.073975,0.000000,0.000000,-3.748120,3.842720,552.847000,1.838000,2006-01-28
2006.076660,0.000000,0.000000,-4.555560,5.080000,553.570000,1.934000,2006-01-29
2006.079346,0.000000,0.000000,-1.722500,0.005410,554.312000,2.035000,2006-01-30
2006.082153,0.000000,0.000000,1.222060,12.952600,555.009000,2.132000,2006-01-31
2006.084839,0.000000,0.000000,-0.054953,1.529380,555.725000,2.231000,2006-02-01
2006.087646,0.000000,0.000000,0.001324,3.554250,556.398000,2.324000,2006-02-02
2006.090332,0.000000,0.000000,0.331932,0.000406,557.062000,2.415000,2006-02-03
2006.093140,0.000000,0.000000,0.504981,0.000000,557.746000,2.506000,2006-02-04
2006.095825,0.000000,0.000000,0.944443,0.000000,558.391000,2.588000,2006-02-05
2006.098511,0.000000,0.000000,-5.689740,0.000000,559.058000,2.669000,2006-02-06
2006.101318,0.000000,0.000000,-6.499630,0.000000,559.689000,2.740000,2006-02-07
2006.104004,0.000000,0.000000,-2.542970,0.000000,560.343000,2.807000,2006-02-08
2006.106812,0.000000,0.000000,0.388724,0.000000,560.963000,2.863000,2006-02-09
2006.109497,0.000000,0.000000,-0.435197,0.000000,561.579000,2.910000,2006-02-10
2006.112305,0.000000,0.000000,-7.888870,0.000000,562.220000,2.950000,2006-02-11
2006.114990,0.000000,0.000000,-7.833310,0.000000,562.830000,2.978000,2006-02-12
2006.117676,0.000000,0.000000,-3.815010,0.000000,563.467000,2.995000,2006-02-13
2006.120483,0.000000,0.000000,-2.603780,0.000432,564.075000,3.000000,2006-02-14
2006.123169,0.000000,0.000000,-1.555880,4.276900,564.694000,2.988000,2006-02-15
2006.125977,0.000000,0.000000,-7.552460,6.854570,565.262000,2.958000,2006-02-16
2006.128662,0.000000,0.000000,-10.555400,0.000787,565.808000,2.913000,2006-02-17
2006.131470,0.000000,0.000000,-9.836650,0.002261,566.358000,2.849000,2006-02-18
2006.134155,0.000000,0.000000,-12.833300,2.032000,566.866000,2.774000,2006-02-19
2006.136841,0.000000,0.000000,-8.726560,0.002159,567.380000,2.683000,2006-02-20
2006.139648,0.000000,0.000000,-9.833240,0.000000,567.857000,2.584000,2006-02-21
2006.142334,0.000000,0.000000,-8.308490,0.000000,568.344000,2.470000,2006-02-22
2006.145142,0.000000,0.000000,-2.339190,0.000000,568.799000,2.352000,2006-02-23
2006.147827,0.000000,0.000000,0.439625,0.000000,569.247000,2.227000,2006-02-24
2006.150635,0.000000,0.000000,0.900127,0.000000,569.708000,2.089000,2006-02-25
2006.153320,0.000000,0.000000,1.722560,0.000000,570.145000,1.952000,2006-02-26
2006.156006,0.000000,0.000000,4.764820,0.000000,570.599000,1.805000,2006-02-27
2006.158813,0.000000,0.000000,9.166300,0.001168,571.034000,1.662000,2006-02-28
2006.161499,0.000000,0.000000,5.160530,8.885890,571.491000,1.511000,2006-03-01
2006.164307,0.000000,0.000000,1.334440,0.000000,571.931000,1.366000,2006-03-02
2006.166992,0.000000,0.000000,4.100280,0.000000,572.378000,1.222000,2006-03-03
2006.169800,0.000000,0.000000,5.383070,1.522300,572.852000,1.074000,2006-03-04
2006.172485,0.000000,0.000000,0.166664,0.000000,573.316000,0.936000,2006-03-05
2006.175171,0.000000,0.000000,1.899880,0.000000,573.814000,0.798000,2006-03-06
2006.177979,0.000000,0.000000,5.444090,7.365010,574.304000,0.671000,2006-03-07
2006.180664,0.000000,0.000000,2.138980,0.003378,574.833000,0.546000,2006-03-08
2006.183472,0.000000,0.000000,0.465586,3.554400,575.356000,0.436000,2006-03-09
2006.186157,0.000000,0.000000,-5.049550,0.257175,575.899000,0.335000,2006-03-10
2006.188965,0.000000,0.000000,-5.554610,0.000000,576.490000,0.241000,2006-03-11
2006.191650,0.000000,0.000000,-4.221750,0.000000,577.079000,0.164000,2006-03-12
2006.194336,0.000000,0.000000,-2.612290,4.059760,577.721000,0.098000,2006-03-13
2006.197144,0.000000,0.000000,-3.388520,0.000533,578.364000,0.049000,2006-03-14
2006.199829,0.000000,0.000000,-0.612382,4.062150,579.067000,0.016000,2006-03-15
2006.202637,0.000000,0.000000,-1.721650,0.254152,579.772000,0.001000,2006-03-16
2006.205322,0.000000,0.000000,0.152673,1.007870,580.536000,0.000000,2006-03-17
2006.208130,0.000000,0.000000,3.181650,7.111390,581.479000,0.000000,2006-03-18
2006.210815,0.000000,0.000000,3.611110,6.095490,582.514000,0.000000,2006-03-19
2006.213501,0.000000,0.000000,0.225749,3.848000,583.723000,0.000000,2006-03-20
2006.216309,0.000000,0.000000,0.390680,2.019960,584.988000,0.000000,2006-03-21
2006.218994,0.000000,0.000000,0.991508,0.259893,586.413000,0.000000,2006-03-22
2006.221802,0.000000,0.000000,1.786660,0.000000,587.863000,0.000000,2006-03-23
2006.224487,0.000000,0.000000,2.382620,0.000000,589.385000,0.000000,2006-03-24
2006.227295,0.000000,0.000000,6.197430,0.010592,591.043000,0.000000,2006-03-25
2006.229980,0.000000,0.000000,7.166660,9.398000,592.680000,0.000000,2006-03-26
2006.232666,0.000000,0.000000,-0.048065,0.009754,594.433000,0.000000,2006-03-27
2006.235474,0.000000,0.000000,2.351810,0.258470,596.138000,0.000000,2006-03-28
2006.238159,0.000000,0.000000,5.443440,8.886160,597.938000,0.000000,2006-03-29
2006.240967,0.000000,0.000000,4.317800,1.241480,599.665000,0.000000,2006-03-30
2006.243652,0.000000,0.000000,3.111200,0.000051,601.386000,0.000000,2006-03-31
2006.246460,0.000000,0.000000,5.162840,0.527787,603.166000,0.000000,2006-04-01
2006.249146,0.000000,0.000000,1.777780,3.556000,604.840000,0.000000,2006-04-02
2006.251831,0.000000,0.000000,3.231600,0.003683,606.546000,0.000000,2006-04-03
2006.254639,0.000000,0.000000,10.459200,0.000051,608.125000,0.000000,2006-04-04
2006.257324,0.000000,0.000000,11.722000,0.992073,609.709000,0.000000,2006-04-05
2006.260132,0.000000,0.000000,6.040220,26.911800,611.148000,0.000000,2006-04-06
2006.262817,0.000000,0.000000,1.055900,2.056590,612.501000,0.000000,2006-04-07
2006.265625,0.000000,0.000000,6.353610,0.000000,613.813000,0.000000,2006-04-08
2006.268311,0.000000,0.000000,9.333470,0.000000,614.957000,0.000000,2006-04-09
2006.270996,0.000000,0.000000,9.499930,0.000000,616.025000,0.000000,2006-04-10
2006.273804,0.000000,0.000000,6.500030,4.571360,616.912000,0.000000,2006-04-11
2006.276489,0.000000,0.000000,6.988920,0.002057,617.688000,0.000000,2006-04-12
2006.279297,0.000000,0.000000,11.906600,0.000000,618.274000,0.000000,2006-04-13
2006.281982,0.000000,0.000000,12.666600,0.000000,618.694000,0.000000,2006-04-14
2006.284790,0.000000,0.000000,11.409800,13.701300,618.945000,0.000000,2006-04-15
2006.287476,0.000000,0.000000,8.777780,0.507517,618.996000,0.000000,2006-04-16
2006.290161,0.000000,0.000000,9.998750,0.000178,618.894000,0.000000,2006-04-17
2006.292969,0.000000,0.000000,1.598860,7.364960,618.673000,0.000000,2006-04-18
2006.295654,0.000000,0.000000,0.611291,0.003277,618.318000,0.000000,2006-04-19
2006.298462,0.000000,0.000000,1.970470,0.000000,617.867000,0.000000,2006-04-20
2006.301147,0.000000,0.000000,5.420650,0.000000,617.312000,0.000000,2006-04-21
2006.303955,0.000000,0.000000,10.364200,0.000000,616.627000,0.000000,2006-04-22
2006.306641,0.000000,0.000000,14.222200,0.000000,615.878000,0.000000,2006-04-23
2006.309326,0.000000,0.000000,11.895400,0.247675,615.004000,0.000000,2006-04-24
2006.312134,0.000000,0.000000,6.333560,0.761898,614.086000,0.000000,2006-04-25
2006.314819,0.000000,0.000000,8.478400,0.000330,613.047000,0.000000,2006-04-26
2006.317627,0.000000,0.000000,9.963070,0.000000,611.984000,0.000000,2006-04-27
2006.320312,0.000000,0.000000,11.277700,0.000000,610.860000,0.000000,2006-04-28
2006.323120,0.000000,0.000000,10.667400,0.000000,609.624000,0.000000,2006-04-29
2006.325806,0.000000,0.000000,11.277800,0.000000,608.390000,0.000000,2006-04-30
2006.328491,0.000000,0.000000,10.512400,0.000000,607.054000,0.000000,2006-05-01
2006.331299,0.000000,0.000000,9.943170,0.000000,605.736000,0.000000,2006-05-02
2006.333984,0.000000,0.000000,9.835840,0.000000,604.324000,0.000000,2006-05-03
2006.336792,0.000000,0.000000,8.000320,1.291340,602.947000,0.000000,2006-05-04
2006.339478,0.000000,0.000000,8.720200,3.301850,601.550000,0.000000,2006-05-05
2006.342285,0.000000,0.000000,8.953020,0.000000,600.073000,0.000000,2006-05-06
2006.344971,0.000000,0.000000,10.445200,0.000000,598.652000,0.000000,2006-05-07
2006.347656,0.000000,0.000000,11.499300,0.492658,597.164000,0.000000,2006-05-08
2006.350464,0.000000,0.000000,8.759510,2.793590,595.744000,0.000000,2006-05-09
2006.353149,0.000000,0.000000,6.278490,0.001219,594.269000,0.000000,2006-05-10
2006.355957,0.000000,0.000000,7.525520,0.000000,592.875000,0.000000,2006-05-11
2006.358643,0.000000,0.000000,11.365700,0.000000,591.501000,0.000000,2006-05-12
2006.361450,0.000000,0.000000,15.583900,0.000000,590.095000,0.000000,2006-05-13
2006.364136,0.000000,0.000000,16.445100,0.000000,588.783000,0.000000,2006-05-14
2006.366821,0.000000,0.000000,17.929900,0.000000,587.454000,0.000000,2006-05-15
2006.369629,0.000000,0.000000,18.447500,0.000000,586.228000,0.000000,2006-05-16
2006.372314,0.000000,0.000000,18.827800,0.000000,584.976000,0.000000,2006-05-17
2006.375122,0.000000,0.000000,19.396000,0.000000,583.762000,0.000000,2006-05-18
2006.377808,0.000000,0.000000,19.888900,0.000000,582.533000,0.000000,2006-05-19
2006.380615,0.000000,0.000000,19.722500,0.000000,581.232000,0.000000,2006-05-20
2006.383301,0.000000,0.000000,19.944400,0.000000,579.972000,0.000000,2006-05-21
2006.385986,0.000000,0.000000,19.406700,0.000000,578.640000,0.000000,2006-05-22
2006.388794,0.000000,0.000000,15.588800,0.507924,577.353000,0.000000,2006-05-23
2006.391479,0.000000,0.000000,12.889600,0.000229,575.993000,0.000000,2006-05-24
2006.394287,0.000000,0.000000,15.533800,0.000000,574.681000,0.000000,2006-05-25
2006.396973,0.000000,0.000000,17.888700,0.000000,573.357000,0.000000,2006-05-26
2006.399780,0.000000,0.000000,17.015600,0.010897,571.961000,0.000000,2006-05-27
2006.402466,0.000000,0.000000,6.942540,9.398000,570.616000,0.000000,2006-05-28
2006.405151,0.000000,0.000000,5.334030,2.612670,569.200000,0.000000,2006-05-29
2006.407959,0.000000,0.000000,8.349040,0.000000,567.836000,0.000000,2006-05-30
2006.410645,0.000000,0.000000,10.085800,0.000000,566.402000,0.000000,2006-05-31
