uniform_tvec, dvv, dv_err, temp_prism, ppt_prism, soil_nldas, snow_nldas, date 
2006.000000,0.000000,0.000000,2.722220,3.810000,408.643000,5.479000,2006-01-01
2006.002686,0.000000,0.000000,0.001967,0.510388,409.234000,5.674000,2006-01-02
2006.005493,0.000000,0.000000,3.499770,3.301870,409.804000,5.852000,2006-01-03
2006.008179,0.000000,0.000000,1.237700,1.799080,410.405000,6.029000,2006-01-04
2006.010986,0.000000,0.000000,0.444576,0.000000,410.987000,6.188000,2006-01-05
2006.013672,0.000000,0.000000,1.103600,0.000000,411.575000,6.335000,2006-01-06
2006.016479,0.000000,0.000000,6.443320,0.000000,412.197000,6.477000,2006-01-07
2006.019165,0.000000,0.000000,4.277670,0.000000,412.800000,6.599000,2006-01-08
2006.021851,0.000000,0.000000,-3.847010,0.000000,413.440000,6.711000,2006-01-09
2006.024658,0.000000,0.000000,-4.943570,0.000000,414.061000,6.802000,2006-01-10
2006.027344,0.000000,0.000000,2.217420,0.000000,414.720000,6.881000,2006-01-11
2006.030151,0.000000,0.000000,2.275500,0.253873,415.361000,6.938000,2006-01-12
2006.032837,0.000000,0.000000,-2.388330,0.000025,416.012000,6.978000,2006-01-13
2006.035645,0.000000,0.000000,2.345880,0.507721,416.706000,6.998000,2006-01-14
2006.038330,0.000000,0.000000,5.111110,0.254000,417.384000,6.997000,2006-01-15
2006.041016,0.000000,0.000000,-5.798440,4.059910,418.126000,6.977000,2006-01-16
2006.043823,0.000000,0.000000,-8.555020,0.000051,418.865000,6.940000,2006-01-17
2006.046509,0.000000,0.000000,-3.049560,0.994308,419.667000,6.885000,2006-01-18
2006.049316,0.000000,0.000000,-0.115025,6.602530,420.459000,6.818000,2006-01-19
2006.052002,0.000000,0.000000,-8.110170,2.559860,421.273000,6.738000,2006-01-20
2006.054810,0.000000,0.000000,-6.202130,0.000000,422.145000,6.641000,2006-01-21
2006.057495,0.000000,0.000000,-5.500000,0.000000,422.997000,6.538000,2006-01-22
2006.060181,0.000000,0.000000,-7.941830,0.000000,423.903000,6.420000,2006-01-23
2006.062988,0.000000,0.000000,-7.719290,0.000025,424.783000,6.298000,2006-01-24
2006.065674,0.000000,0.000000,-4.275410,0.248031,425.713000,6.164000,2006-01-25
2006.068481,0.000000,0.000000,0.999758,3.809750,426.611000,6.030000,2006-01-26
2006.071167,0.000000,0.000000,-0.099482,3.302050,427.513000,5.891000,2006-01-27
2006.073975,0.000000,0.000000,-5.888410,3.807490,428.459000,5.743000,2006-01-28
2006.076660,0.000000,0.000000,-4.888670,1.015800,429.364000,5.599000,2006-01-29
2006.079346,0.000000,0.000000,0.474843,0.000559,430.308000,5.447000,2006-01-30
2006.082153,0.000000,0.000000,3.888330,0.257150,431.205000,5.302000,2006-01-31
2006.084839,0.000000,0.000000,-0.553459,2.279570,432.136000,5.153000,2006-02-01
2006.087646,0.000000,0.000000,3.387000,2.546680,433.016000,5.013000,2006-02-02
2006.090332,0.000000,0.000000,-0.444001,4.571770,433.884000,4.878000,2006-02-03
2006.093140,0.000000,0.000000,-0.383447,0.000000,434.776000,4.741000,2006-02-04
2006.095825,0.000000,0.000000,2.722220,0.000000,435.612000,4.618000,2006-02-05
2006.098511,0.000000,0.000000,-5.047290,0.000000,436.465000,4.497000,2006-02-06
2006.101318,0.000000,0.000000,-3.037500,0.000000,437.258000,4.390000,2006-02-07
2006.104004,0.000000,0.000000,1.162450,0.000000,438.061000,4.290000,2006-02-08
2006.106812,0.000000,0.000000,1.278740,0.000000,438.802000,4.206000,2006-02-09
2006.109497,0.000000,0.000000,1.333330,0.000000,439.513000,4.135000,2006-02-10
2006.112305,0.000000,0.000000,-5.333290,0.000000,440.223000,4.075000,2006-02-11
2006.114990,0.000000,0.000000,-5.222180,0.000000,440.867000,4.033000,2006-02-12
2006.117676,0.000000,0.000000,-1.245680,0.000000,441.501000,4.007000,2006-02-13
2006.120483,0.000000,0.000000,-0.604082,0.000051,442.068000,4.000000,2006-02-14
2006.123169,0.000000,0.000000,2.498710,0.995655,442.627000,4.008000,2006-02-15
2006.125977,0.000000,0.000000,-6.298110,5.077870,443.136000,4.028000,2006-02-16
2006.128662,0.000000,0.000000,-10.610800,0.514071,443.623000,4.058000,2006-02-17
2006.131470,0.000000,0.000000,-5.222400,0.000762,444.110000,4.101000,2006-02-18
2006.134155,0.000000,0.000000,-5.500080,1.016230,444.555000,4.150000,2006-02-19
